x	 y 	 value
12.3843	1.14996	-0.480793
12.4504	1.11785	-0.48881
12.5161	1.08553	-0.494698
12.5813	1.05313	-0.498476
12.6459	1.02082	-0.500174
12.71	0.988738	-0.499834
12.7736	0.957023	-0.497508
12.8365	0.925806	-0.493258
12.8989	0.895208	-0.487156
12.9606	0.865342	-0.479278
13.0218	0.836309	-0.469708
13.0823	0.808202	-0.458536
13.1421	0.781104	-0.445852
13.2014	0.755088	-0.431754
13.26	0.730217	-0.416338
13.3179	0.706545	-0.399701
13.3753	0.684118	-0.381941
13.432	0.662973	-0.363155
13.4881	0.643138	-0.343438
13.5436	0.624634	-0.322882
13.5985	0.607478	-0.301578
13.6528	0.591677	-0.279611
13.7066	0.577236	-0.257064
13.7598	0.564151	-0.234015
13.8126	0.55242	-0.210537
13.8648	0.542032	-0.186702
13.9167	0.532976	-0.162571
13.9681	0.52524	-0.138206
14.0191	0.51881	-0.113661
14.0698	0.513669	-0.0889858
14.1202	0.509805	-0.0642279
14.1704	0.507204	-0.0394292
14.2203	0.505852	-0.0146292
14.2701	0.505739	0.0101352
14.3199	0.506858	0.034829
14.3696	0.5092	0.0594181
14.4193	0.512763	0.0838687
14.469	0.517544	0.108146
14.5189	0.523542	0.132214
14.569	0.53076	0.156035
14.6192	0.5392	0.179568
14.6698	0.548864	0.202769
14.7206	0.559756	0.225591
14.7717	0.571877	0.247983
14.8233	0.58523	0.269889
14.8752	0.599812	0.291251
14.9276	0.615621	0.312005
14.9804	0.63265	0.332086
15.0338	0.650887	0.351424
15.0876	0.670319	0.369945
15.142	0.690926	0.387573
15.1969	0.712681	0.404231
15.2524	0.735555	0.419838
15.3084	0.759508	0.434312
15.365	0.784498	0.447572
15.4222	0.81047	0.459534
15.4801	0.837368	0.470117
15.5385	0.865122	0.479239
15.5975	0.893658	0.486822
15.6571	0.922893	0.49279
15.7174	0.952734	0.49707
15.7782	0.983082	0.499596
15.8397	1.01383	0.500305
15.9017	1.04486	0.499142
15.9643	1.07604	0.496058
16.0275	1.10726	0.491016
16.0913	1.13837	0.483985
16.1555	1.16922	0.474945
