x	 prey 	 predator
5.36613	0.0280796	1.63926
5.42922	0.0288924	1.5987
5.49268	0.0297641	1.55892
5.55652	0.0306984	1.51992
5.62076	0.0316996	1.48166
5.6854	0.032772	1.44415
5.75045	0.0339207	1.40736
5.81593	0.035151	1.37129
5.88184	0.0364689	1.33593
5.94819	0.0378806	1.30127
6.015	0.0393933	1.26728
6.08227	0.0410146	1.23397
6.15001	0.0427528	1.20133
6.21823	0.044617	1.16935
6.28694	0.0466172	1.13801
6.35614	0.0487641	1.10731
6.42583	0.0510695	1.07725
6.49602	0.0535462	1.04781
6.5667	0.0562079	1.019
6.63788	0.0590697	0.990806
6.70954	0.0621476	0.963231
6.78166	0.0654589	0.936273
6.85423	0.069022	0.909933
6.92722	0.0728564	0.884213
7.00058	0.0769825	0.859119
7.07426	0.0814214	0.834657
7.14821	0.0861946	0.810837
7.22233	0.0913236	0.78767
7.29653	0.0968295	0.765172
7.3707	0.102732	0.743357
7.4447	0.109049	0.722244
7.51838	0.115795	0.701853
7.59157	0.122981	0.682201
7.6641	0.130615	0.663306
7.73577	0.138698	0.645184
7.80641	0.147227	0.627845
7.87583	0.156194	0.611296
7.94387	0.165586	0.595535
8.01039	0.175385	0.580557
8.07528	0.185572	0.566347
8.13844	0.196124	0.552886
8.19981	0.20702	0.540146
8.25937	0.218237	0.528099
8.31711	0.229753	0.51671
8.37305	0.24155	0.505944
8.42722	0.253609	0.495764
8.47968	0.265915	0.486132
8.53048	0.278455	0.477012
8.5797	0.291218	0.46837
8.6274	0.304197	0.460171
8.67367	0.317383	0.452383
8.71857	0.330773	0.444978
8.76218	0.344361	0.437927
8.80457	0.358146	0.431206
8.84581	0.372127	0.42479
8.88597	0.386303	0.418659
8.9251	0.400675	0.412792
8.96326	0.415242	0.407172
9.00051	0.430008	0.401782
9.0369	0.444973	0.396608
9.07247	0.460141	0.391634
9.10728	0.475512	0.386849
9.14135	0.491091	0.38224
9.17474	0.50688	0.377799
9.20747	0.522883	0.373513
9.23959	0.539102	0.369375
9.27111	0.555541	0.365377
9.30207	0.572204	0.36151
9.3325	0.589094	0.357768
9.36242	0.606214	0.354145
9.39185	0.623569	0.350634
9.42083	0.641162	0.347229
9.44936	0.658997	0.343926
9.47747	0.677078	0.34072
9.50517	0.695409	0.337606
9.53249	0.713994	0.334581
9.55944	0.732836	0.33164
9.58603	0.75194	0.328779
9.61228	0.77131	0.325996
9.6382	0.79095	0.323288
9.6638	0.810864	0.32065
9.6891	0.831056	0.318081
9.71411	0.85153	0.315578
9.73884	0.872292	0.313139
9.7633	0.893344	0.310761
9.78749	0.914692	0.308442
9.81143	0.936339	0.30618
9.83513	0.958291	0.303973
9.85859	0.980552	0.301819
9.88183	1.00313	0.299717
9.90484	1.02602	0.297664
9.92764	1.04923	0.295661
9.95024	1.07277	0.293704
9.97263	1.09665	0.291792
9.99483	1.12086	0.289925
10.0168	1.14541	0.288101
10.0387	1.17031	0.286319
10.0603	1.19556	0.284578
10.0818	1.22116	0.282876
10.1031	1.24713	0.281213
10.1243	1.27347	0.279588
10.1453	1.30018	0.277999
10.1661	1.32726	0.276447
10.1868	1.35473	0.27493
10.2074	1.38259	0.273447
10.2278	1.41084	0.271997
10.2481	1.43949	0.270581
10.2682	1.46855	0.269196
10.2882	1.49802	0.267843
10.3081	1.5279	0.266522
10.3279	1.55821	0.26523
10.3476	1.58894	0.263969
10.3671	1.62012	0.262736
10.3865	1.65173	0.261533
10.4058	1.68379	0.260358
10.425	1.7163	0.25921
10.4441	1.74928	0.25809
10.4631	1.78272	0.256997
10.482	1.81664	0.255931
10.5008	1.85104	0.254891
10.5195	1.88592	0.253876
10.5381	1.9213	0.252888
10.5566	1.95718	0.251924
10.5751	1.99357	0.250986
10.5934	2.03047	0.250072
10.6117	2.0679	0.249182
10.6299	2.10586	0.248317
10.648	2.14436	0.247476
10.666	2.1834	0.246658
10.6839	2.223	0.245864
10.7018	2.26316	0.245093
10.7196	2.30389	0.244345
10.7373	2.3452	0.24362
10.755	2.38709	0.242918
10.7726	2.42958	0.242239
10.7901	2.47268	0.241582
10.8076	2.51638	0.240948
10.825	2.56071	0.240336
10.8423	2.60567	0.239746
10.8596	2.65127	0.239179
10.8768	2.69752	0.238634
10.894	2.74442	0.23811
10.9111	2.792	0.237609
10.9281	2.84025	0.23713
10.9451	2.88919	0.236673
10.9621	2.93883	0.236238
10.979	2.98918	0.235824
10.9958	3.04024	0.235433
11.0126	3.09203	0.235064
11.0293	3.14457	0.234717
11.046	3.19785	0.234393
11.0627	3.2519	0.23409
11.0793	3.30672	0.23381
11.0959	3.36233	0.233552
11.1124	3.41873	0.233317
11.1289	3.47594	0.233104
11.1453	3.53397	0.232915
11.1618	3.59283	0.232748
11.1781	3.65254	0.232604
11.1945	3.71311	0.232483
11.2107	3.77455	0.232386
11.227	3.83687	0.232313
11.2432	3.90009	0.232263
11.2594	3.96422	0.232237
11.2756	4.02927	0.232236
11.2917	4.09526	0.232259
11.3078	4.16221	0.232307
11.3239	4.23013	0.232381
11.3399	4.29902	0.232479
11.356	4.36892	0.232603
11.372	4.43983	0.232754
11.3879	4.51177	0.23293
11.4039	4.58475	0.233134
11.4198	4.6588	0.233365
11.4357	4.73392	0.233623
11.4515	4.81014	0.233909
11.4674	4.88747	0.234224
11.4832	4.96592	0.234568
11.499	5.04553	0.234941
11.5148	5.1263	0.235344
11.5306	5.20826	0.235777
11.5463	5.29142	0.236242
11.5621	5.3758	0.236738
11.5778	5.46143	0.237266
11.5935	5.54832	0.237828
11.6092	5.63649	0.238423
11.6249	5.72597	0.239052
11.6405	5.81677	0.239716
11.6562	5.90892	0.240416
11.6718	6.00244	0.241153
11.6875	6.09735	0.241927
11.7031	6.19368	0.242739
11.7187	6.29145	0.243591
11.7343	6.39069	0.244483
11.7499	6.49142	0.245416
11.7655	6.59366	0.246391
11.7811	6.69744	0.24741
11.7967	6.80279	0.248473
11.8123	6.90974	0.249582
11.8279	7.01831	0.250738
11.8435	7.12854	0.251942
11.8591	7.24044	0.253196
11.8747	7.35407	0.254501
11.8903	7.46943	0.255859
11.9059	7.58658	0.257271
11.9215	7.70553	0.258739
11.9371	7.82633	0.260264
11.9528	7.949	0.26185
11.9684	8.07359	0.263496
11.984	8.20013	0.265207
11.9997	8.32866	0.266983
12.0153	8.45922	0.268827
12.031	8.59184	0.270741
12.0467	8.72658	0.272728
12.0624	8.86347	0.27479
12.0782	9.00256	0.276931
12.0939	9.14389	0.279153
12.1097	9.28751	0.281459
12.1255	9.43347	0.283853
12.1413	9.58183	0.286337
12.1572	9.73263	0.288917
12.1731	9.88593	0.291595
12.189	10.0418	0.294375
12.2049	10.2003	0.297263
12.2209	10.3614	0.300263
12.237	10.5253	0.303379
12.253	10.692	0.306617
12.2691	10.8616	0.309983
12.2853	11.0342	0.313482
12.3015	11.2097	0.317122
12.3178	11.3884	0.320909
12.3341	11.5703	0.32485
12.3505	11.7555	0.328953
12.3669	11.9441	0.333227
12.3834	12.1362	0.337681
12.4	12.3319	0.342325
12.4167	12.5312	0.34717
12.4335	12.7344	0.352227
12.4503	12.9416	0.357508
12.4672	13.1529	0.363029
12.4843	13.3684	0.368803
12.5014	13.5883	0.374846
12.5187	13.8128	0.381178
12.5361	14.0421	0.387817
12.5536	14.2763	0.394785
12.5713	14.5157	0.402107
12.5892	14.7605	0.409809
12.6072	15.011	0.41792
12.6254	15.2675	0.426475
12.6438	15.5303	0.435511
12.6624	15.7998	0.44507
12.6812	16.0763	0.455201
12.7004	16.3603	0.465959
12.7198	16.6523	0.477408
12.7395	16.953	0.489621
12.7596	17.263	0.502687
12.7801	17.5831	0.516706
12.8011	17.9142	0.531803
12.8225	18.2574	0.548123
12.8446	18.6142	0.565851
12.8673	18.9861	0.585211
12.8909	19.3752	0.606492
12.9154	19.7841	0.630065
12.941	20.2162	0.656427
12.968	20.6759	0.686254
12.9968	21.1693	0.720498
13.0279	21.7043	0.760529
13.0618	22.2906	0.808296
13.099	22.9346	0.86616
13.1387	23.6206	0.935112
13.1732	24.2087	1.00149
13.202	24.6932	1.06222
13.2278	25.1197	1.12104
13.2507	25.4908	1.17702
13.2712	25.8163	1.23043
13.2899	26.1056	1.28183
13.3079	26.3783	1.3342
13.3241	26.6185	1.38397
13.3399	26.8444	1.43441
13.355	27.0547	1.48502
13.3695	27.2494	1.53553
13.3833	27.429	1.5858
13.3965	27.5946	1.63578
13.4091	27.7471	1.68546
13.4212	27.8875	1.73488
13.4329	28.0169	1.78408
13.4442	28.136	1.8331
13.4551	28.2456	1.88199
13.4656	28.3463	1.93081
13.4758	28.4386	1.97958
13.4858	28.5232	2.02834
13.4954	28.6003	2.07713
13.5049	28.6704	2.12598
13.5141	28.7339	2.1749
13.5231	28.7909	2.22393
13.5319	28.8419	2.27309
13.5405	28.887	2.32238
13.549	28.9264	2.37183
13.5573	28.9604	2.42146
13.5654	28.9891	2.47126
13.5735	29.0127	2.52127
13.5813	29.0314	2.57148
13.5891	29.0452	2.62191
13.5967	29.0543	2.67256
13.6043	29.0589	2.72345
13.6117	29.059	2.77458
13.619	29.0548	2.82597
13.6262	29.0462	2.87761
13.6334	29.0335	2.92952
13.6404	29.0167	2.9817
13.6474	28.9958	3.03416
13.6543	28.971	3.0869
13.6611	28.9423	3.13994
13.6679	28.9097	3.19327
13.6746	28.8734	3.24691
13.6812	28.8333	3.30086
13.6878	28.7896	3.35512
13.6943	28.7422	3.4097
13.7008	28.6912	3.46462
13.7072	28.6366	3.51987
13.7135	28.5785	3.57546
13.7199	28.5169	3.63139
13.7262	28.4518	3.68768
13.7324	28.3832	3.74433
13.7386	28.3112	3.80135
13.7448	28.2358	3.85874
13.7509	28.157	3.91652
13.757	28.0748	3.97469
13.7631	27.9893	4.03325
13.7692	27.9003	4.09222
13.7752	27.808	4.1516
13.7812	27.7123	4.21141
13.7872	27.6133	4.27166
13.7932	27.5109	4.33234
13.7992	27.405	4.39349
13.8052	27.2958	4.45509
13.8111	27.1832	4.51718
13.8171	27.0671	4.57976
13.823	26.9475	4.64284
13.829	26.8245	4.70644
13.8349	26.6979	4.77057
13.8409	26.5678	4.83525
13.8468	26.4341	4.9005
13.8528	26.2967	4.96633
13.8588	26.1556	5.03277
13.8648	26.0107	5.09983
13.8708	25.8621	5.16754
13.8768	25.7095	5.23593
13.8829	25.5529	5.30502
13.889	25.3922	5.37483
13.8951	25.2273	5.44541
13.9012	25.0582	5.51678
13.9074	24.8846	5.58899
13.9137	24.7064	5.66207
13.92	24.5235	5.73607
13.9263	24.3357	5.81104
13.9328	24.1428	5.88704
13.9392	23.9446	5.96412
13.9458	23.7408	6.04236
13.9525	23.5312	6.12184
13.9592	23.3154	6.20263
13.9661	23.093	6.28485
13.973	22.8637	6.3686
13.9802	22.627	6.45402
13.9874	22.3822	6.54125
13.9948	22.1288	6.63048
14.0024	21.8659	6.72191
14.0103	21.5927	6.81578
14.0183	21.308	6.9124
14.0267	21.0103	7.01213
14.0353	20.6981	7.11543
14.0444	20.3692	7.22284
14.0539	20.0208	7.33511
14.064	19.6493	7.45317
14.0748	19.2499	7.57824
14.0864	18.8164	7.71192
14.0991	18.3411	7.85611
14.1131	17.8168	8.01232
14.1283	17.2465	8.17897
14.1441	16.6571	8.34768
14.1581	16.1341	8.49445
14.1705	15.6787	8.62004
14.1814	15.2775	8.72892
14.1913	14.9173	8.8253
14.2008	14.5725	8.91635
14.21	14.2462	9.00137
14.2186	13.9388	9.08046
14.2269	13.6492	9.15406
14.2347	13.3757	9.22277
14.2423	13.1164	9.28715
14.2495	12.8696	9.34774
14.2565	12.6338	9.40497
14.2632	12.4078	9.45925
14.2698	12.1904	9.51088
14.2762	11.9808	9.56014
14.2824	11.7782	9.60726
14.2885	11.582	9.65242
14.2945	11.3915	9.69578
14.3004	11.2063	9.7375
14.3062	11.026	9.77767
14.3119	10.8503	9.81641
14.3175	10.6787	9.85381
14.323	10.5112	9.88995
14.3285	10.3474	9.9249
14.334	10.1871	9.95872
14.3393	10.03	9.99147
14.3447	9.87617	10.0232
14.3499	9.72527	10.0539
14.3552	9.5772	10.0838
14.3604	9.43183	10.1127
14.3656	9.28905	10.1407
14.3707	9.14873	10.168
14.3758	9.01077	10.1944
14.3809	8.87509	10.2201
14.386	8.74159	10.245
14.391	8.61019	10.2692
14.396	8.48081	10.2927
14.401	8.35338	10.3155
14.406	8.22784	10.3376
14.411	8.10413	10.3591
14.416	7.98218	10.38
14.421	7.86193	10.4002
14.4259	7.74335	10.4198
14.4309	7.62637	10.4389
14.4358	7.51095	10.4573
14.4408	7.39705	10.4752
14.4457	7.28463	10.4926
14.4507	7.17364	10.5094
14.4556	7.06405	10.5256
14.4606	6.95583	10.5413
14.4656	6.84893	10.5565
14.4705	6.74334	10.5712
14.4755	6.63901	10.5854
14.4805	6.53592	10.5991
14.4855	6.43404	10.6122
14.4905	6.33334	10.6249
14.4955	6.2338	10.6371
14.5006	6.1354	10.6488
14.5056	6.03811	10.6601
14.5107	5.94191	10.6708
14.5158	5.84678	10.6811
14.5209	5.7527	10.691
14.526	5.65965	10.7003
14.5312	5.56761	10.7092
14.5364	5.47656	10.7177
14.5416	5.38649	10.7256
14.5468	5.29737	10.7332
14.552	5.20921	10.7402
14.5573	5.12197	10.7468
14.5626	5.03565	10.753
14.568	4.95023	10.7587
14.5734	4.8657	10.7639
14.5788	4.78204	10.7687
14.5842	4.69925	10.7731
14.5897	4.61731	10.777
14.5952	4.53621	10.7804
14.6008	4.45594	10.7834
14.6064	4.3765	10.7859
14.612	4.29786	10.7879
14.6177	4.22002	10.7895
14.6234	4.14298	10.7906
14.6292	4.06672	10.7913
14.635	3.99123	10.7915
14.6409	3.91651	10.7912
14.6468	3.84255	10.7904
14.6528	3.76934	10.7891
14.6588	3.69688	10.7874
14.6649	3.62515	10.7852
14.6711	3.55416	10.7824
14.6773	3.48389	10.7792
14.6836	3.41434	10.7755
14.6899	3.34551	10.7712
14.6963	3.27739	10.7665
