x	 y 	 diff
4.81633	2.65306	0.878711
4.93878	2.65306	1.05315
5.06122	2.65306	1.29048
5.18367	2.65306	1.59816
5.30612	2.65306	1.98347
5.42857	2.65306	2.45351
5.55102	2.65306	3.0152
5.67347	2.65306	0.714922
5.79592	2.65306	0.573218
5.91837	2.65306	0.486455
6.04082	2.65306	0.482121
6.16327	2.65306	0.587778
6.28571	2.65306	0.831032
6.40816	2.65306	1.23951
6.53061	2.65306	1.84086
6.65306	2.65306	2.66267
6.77551	2.65306	1.28057
6.89796	2.65306	1.3264
7.02041	2.65306	1.50337
7.14286	2.65306	1.84454
7.26531	2.65306	2.38289
7.38776	2.65306	3.1512
7.5102	2.65306	4.18211
7.63265	2.65306	5.50809
7.7551	2.65306	7.1614
7.87755	2.65306	0.394028
8	2.65306	0.546401

2	2.81633	0.608663
2.12245	2.81633	0.632196
2.2449	2.81633	0.763587
2.36735	2.81633	0.652603
2.4898	2.81633	0.534397
2.61224	2.81633	0.415939
2.73469	2.81633	0.304324
2.85714	2.81633	0.20676
2.97959	2.81633	0.130535
3.10204	2.81633	0.0829968
3.22449	2.81633	0.0715296
3.34694	2.81633	0.75832
3.46939	2.81633	0.7493
3.59184	2.81633	0.753135
3.71429	2.81633	0.761508
3.83673	2.81633	0.766011
3.95918	2.81633	0.75812
4.08163	2.81633	0.729175
4.20408	2.81633	0.670362
4.32653	2.81633	0.572694
4.44898	2.81633	0.0241444
4.57143	2.81633	0.131184
4.69388	2.81633	0.239685
4.81633	2.81633	0.33451
4.93878	2.81633	0.400306
5.06122	2.81633	0.421512
5.18367	2.81633	0.382357
5.30612	2.81633	0.266873
5.42857	2.81633	0.0588993
5.55102	2.81633	0.257898
5.67347	2.81633	0.744017
5.79592	2.81633	0.657869
5.91837	2.81633	0.584898
6.04082	2.81633	0.531137
6.16327	2.81633	0.502692
6.28571	2.81633	0.505722
6.40816	2.81633	0.546411
6.53061	2.81633	0.630942
6.65306	2.81633	0.765472
6.77551	2.81633	0.985102
6.89796	2.81633	0.971324
7.02041	2.81633	0.935937
7.14286	2.81633	0.869787
7.26531	2.81633	0.763574
7.38776	2.81633	0.607838
7.5102	2.81633	0.392941
7.63265	2.81633	0.109056
7.7551	2.81633	0.253842
7.87755	2.81633	0.146746
8	2.81633	0.160646

2	2.97959	0.644737
2.12245	2.97959	0.677251
2.2449	2.97959	0.852067
2.36735	2.97959	0.734855
2.4898	2.97959	0.610166
2.61224	2.97959	0.485889
2.73469	2.97959	0.370046
2.85714	2.97959	0.270774
2.97959	2.97959	0.196294
3.10204	2.97959	0.154891
3.22449	2.97959	0.154885
3.34694	2.97959	0.799336
3.46939	2.97959	0.794605
3.59184	2.97959	0.804754
3.71429	2.97959	0.821396
3.83673	2.97959	0.83605
3.95918	2.97959	0.840114
4.08163	2.97959	0.824843
4.20408	2.97959	0.781333
4.32653	2.97959	0.700499
4.44898	2.97959	0.026363
4.57143	2.97959	0.0912579
4.69388	2.97959	0.210853
4.81633	2.97959	0.316303
4.93878	2.97959	0.391266
5.06122	2.97959	0.419181
5.18367	2.97959	0.38327
5.30612	2.97959	0.266549
5.42857	2.97959	0.051835
5.55102	2.97959	0.278238
5.67347	2.97959	0.845497
5.79592	2.97959	0.759302
5.91837	2.97959	0.68915
6.04082	2.97959	0.641875
6.16327	2.97959	0.624394
6.28571	2.97959	0.643674
6.40816	2.97959	0.706711
6.53061	2.97959	0.820499
6.65306	2.97959	0.992004
6.77551	2.97959	1.06676
6.89796	2.97959	1.06394
7.02041	2.97959	1.04047
7.14286	2.97959	0.986937
7.26531	2.97959	0.893755
7.38776	2.97959	0.751175
7.5102	2.97959	0.549267
7.63265	2.97959	0.277901
7.7551	2.97959	0.0732614
7.87755	2.97959	0.129781
8	2.97959	0.148221

2	3.14286	0.551893
2.12245	3.14286	0.605579
2.2449	3.14286	0.808348
2.36735	3.14286	0.691184
2.4898	3.14286	0.566487
2.61224	3.14286	0.441892
2.73469	3.14286	0.325168
2.85714	3.14286	0.224196
2.97959	3.14286	0.146949
3.10204	3.14286	0.10146
3.22449	3.14286	0.0957988
3.34694	3.14286	0.699756
3.46939	3.14286	0.681753
3.59184	3.14286	0.679914
3.71429	3.14286	0.687883
3.83673	3.14286	0.699208
3.95918	3.14286	0.707314
4.08163	3.14286	0.705482
4.20408	3.14286	0.68683
4.32653	3.14286	0.644297
4.44898	3.14286	0.0743552
4.57143	3.14286	0.0322107
4.69388	3.14286	0.143888
4.81633	3.14286	0.246613
4.93878	3.14286	0.326102
5.06122	3.14286	0.367843
5.18367	3.14286	0.357109
5.30612	3.14286	0.278962
5.42857	3.14286	0.118263
5.55102	3.14286	0.140313
5.67347	3.14286	0.768107
5.79592	3.14286	0.679882
5.91837	3.14286	0.608227
6.04082	3.14286	0.560185
6.16327	3.14286	0.542878
6.28571	3.14286	0.563482
6.40816	3.14286	0.629199
6.53061	3.14286	0.747232
6.65306	3.14286	0.924754
6.77551	3.14286	0.920984
6.89796	3.14286	0.918334
7.02041	3.14286	0.904272
7.14286	3.14286	0.871603
7.26531	3.14286	0.812985
7.38776	3.14286	0.720902
7.5102	3.14286	0.587653
7.63265	3.14286	0.405339
7.7551	3.14286	0.165847
7.87755	3.14286	0.0717955
8	3.14286	0.0978657

2	3.30612	0.277849
2.12245	3.30612	0.368727
2.2449	3.30612	0.595761
2.36735	3.30612	0.486386
2.4898	3.30612	0.369598
2.61224	3.30612	0.251197
2.73469	3.30612	0.13712
2.85714	3.30612	0.0334111
2.97959	3.30612	0.0537938
3.10204	3.30612	0.118299
3.22449	3.30612	0.153872
3.34694	3.30612	0.411579
3.46939	3.30612	0.355914
3.59184	3.30612	0.31666
3.71429	3.30612	0.292263
3.83673	3.30612	0.281069
3.95918	3.30612	0.281306
4.08163	3.30612	0.291061
4.20408	3.30612	0.308258
4.32653	3.30612	0.330643
4.44898	3.30612	0.127394
4.57143	3.30612	0.0610315
4.69388	3.30612	0.0171315
4.81633	3.30612	0.0991229
4.93878	3.30612	0.17675
5.06122	3.30612	0.2416
5.18367	3.30612	0.285045
5.30612	3.30612	0.298248
5.42857	3.30612	0.272176
5.55102	3.30612	0.197613
5.67347	3.30612	0.457766
5.79592	3.30612	0.363877
5.91837	3.30612	0.283802
6.04082	3.30612	0.223975
6.16327	3.30612	0.190913
6.28571	3.30612	0.191182
6.40816	3.30612	0.231377
6.53061	3.30612	0.318091
6.65306	3.30612	0.457891
6.77551	3.30612	0.467729
6.89796	3.30612	0.44951
7.02041	3.30612	0.439936
7.14286	3.30612	0.437369
7.26531	3.30612	0.440022
7.38776	3.30612	0.445939
7.5102	3.30612	0.452983
7.63265	3.30612	0.458817
7.7551	3.30612	0.460897
7.87755	3.30612	0.0504747
8	3.30612	0.0128809

2	3.46939	0.230321
2.12245	3.46939	0.0823587
2.2449	3.46939	0.178188
2.36735	3.46939	0.0857545
2.4898	3.46939	0.013836
2.61224	3.46939	0.118591
2.73469	3.46939	0.226388
2.85714	3.46939	0.335
2.97959	3.46939	0.442115
3.10204	3.46939	0.545359
3.22449	3.46939	0.642328
3.34694	3.46939	0.113338
3.46939	3.46939	0.237971
3.59184	3.46939	0.347271
3.71429	3.46939	0.434556
3.83673	3.46939	0.493236
3.95918	3.46939	0.516836
4.08163	3.46939	0.499019
4.20408	3.46939	0.433599
4.32653	3.46939	0.314566
4.44898	3.46939	0.193726
4.57143	3.46939	0.204242
4.69388	3.46939	0.191778
4.81633	3.46939	0.153189
4.93878	3.46939	0.0855401
5.06122	3.46939	0.01389
5.18367	3.46939	0.147617
5.30612	3.46939	0.317956
5.42857	3.46939	0.527035
5.55102	3.46939	0.776804
5.67347	3.46939	0.139199
5.79592	3.46939	0.244108
5.91837	3.46939	0.342203
6.04082	3.46939	0.428677
6.16327	3.46939	0.49865
6.28571	3.46939	0.54719
6.40816	3.46939	0.56934
6.53061	3.46939	0.560144
6.65306	3.46939	0.514671
6.77551	3.46939	0.373371
6.89796	3.46939	0.427951
7.02041	3.46939	0.440413
7.14286	3.46939	0.402716
7.26531	3.46939	0.306964
7.38776	3.46939	0.145421
7.5102	3.46939	0.089474
7.63265	3.46939	0.405091
7.7551	3.46939	0.808599
7.87755	3.46939	0.261
8	3.46939	0.207181

2	3.63265	1.02618
2.12245	3.63265	0.797329
2.2449	3.63265	0.479943
2.36735	3.63265	0.544932
2.4898	3.63265	0.616725
2.61224	3.63265	0.699514
2.73469	3.63265	0.797369
2.85714	3.63265	0.914261
2.97959	3.63265	1.05408
3.10204	3.63265	1.22067
3.22449	3.63265	1.41783
3.34694	3.63265	0.923281
3.46939	3.63265	1.15518
3.59184	3.63265	1.37445
3.71429	3.63265	1.56204
3.83673	3.63265	1.69902
3.95918	3.63265	1.76655
4.08163	3.63265	1.74592
4.20408	3.63265	1.61856
4.32653	3.63265	1.36608
4.44898	3.63265	0.282269
4.57143	3.63265	0.413886
4.69388	3.63265	0.505903
4.81633	3.63265	0.538036
4.93878	3.63265	0.4902
5.06122	3.63265	0.342505
5.18367	3.63265	0.0752559
5.30612	3.63265	0.331059
5.42857	3.63265	0.895774
5.55102	3.63265	1.63806
5.67347	3.63265	1.07607
5.79592	3.63265	1.19915
5.91837	3.63265	1.32761
6.04082	3.63265	1.45952
6.16327	3.63265	1.59287
6.28571	3.63265	1.7256
6.40816	3.63265	1.85563
6.53061	3.63265	1.98087
6.65306	3.63265	2.09927
6.77551	3.63265	1.68301
6.89796	3.63265	1.79987
7.02041	3.63265	1.82512
7.14286	3.63265	1.73613
7.26531	3.63265	1.51039
7.38776	3.63265	1.12551
7.5102	3.63265	0.559313
7.63265	3.63265	0.210235
7.7551	3.63265	1.20497
7.87755	3.63265	0.58445
8	3.63265	0.508886

2	3.79592	2.16389
2.12245	3.79592	1.8264
2.2449	3.79592	1.41368
2.36735	3.79592	1.43942
2.4898	3.79592	1.47157
2.61224	3.79592	1.52328
2.73469	3.79592	1.60757
2.85714	3.79592	1.7374
2.97959	3.79592	1.92565
3.10204	3.79592	2.18515
3.22449	3.79592	2.52868
3.34694	3.79592	2.06667
3.46939	3.79592	2.45122
3.59184	3.79592	2.82773
3.71429	3.79592	3.16002
3.83673	3.79592	3.41203
3.95918	3.79592	3.54776
4.08163	3.79592	3.53135
4.20408	3.79592	3.32705
4.32653	3.79592	2.89926
4.44898	3.79592	0.402589
4.57143	3.79592	0.707091
4.69388	3.79592	0.948973
4.81633	3.79592	1.0838
4.93878	3.79592	1.06731
5.06122	3.79592	0.855434
5.18367	3.79592	0.404252
5.30612	3.79592	0.329972
5.42857	3.79592	1.39082
5.55102	3.79592	2.82173
5.67347	3.79592	2.40572
5.79592	3.79592	2.55599
5.91837	3.79592	2.73002
6.04082	3.79592	2.93016
6.16327	3.79592	3.15874
6.28571	3.79592	3.41802
6.40816	3.79592	3.71023
6.53061	3.79592	4.03764
6.65306	3.79592	4.40249
6.77551	3.79592	3.54221
6.89796	3.79592	3.75244
7.02041	3.79592	3.80299
7.14286	3.79592	3.65087
7.26531	3.79592	3.25321
7.38776	3.79592	2.56726
7.5102	3.79592	1.55045
7.63265	3.79592	0.160328
7.7551	3.79592	1.64536
7.87755	3.79592	1.04616
8	3.79592	0.942512

2	3.95918	3.6982
2.12245	3.95918	3.22034
2.2449	3.95918	2.65759
2.36735	3.95918	2.63104
2.4898	3.95918	2.61051
2.61224	3.95918	2.62127
2.73469	3.95918	2.6885
2.85714	3.95918	2.83729
2.97959	3.95918	3.09269
3.10204	3.95918	3.47969
3.22449	3.95918	4.02326
3.34694	3.95918	3.59207
3.46939	3.95918	4.18179
3.59184	3.95918	4.77024
3.71429	3.95918	5.29867
3.83673	3.95918	5.70841
3.95918	3.95918	5.94085
4.08163	3.95918	5.93751
4.20408	3.95918	5.64
4.32653	3.95918	4.99005
4.44898	3.95918	0.564855
4.57143	3.95918	1.1016
4.69388	3.95918	1.54534
4.81633	3.95918	1.81948
4.93878	3.95918	1.84757
5.06122	3.95918	1.55333
5.18367	3.95918	0.860605
5.30612	3.95918	0.306595
5.42857	3.95918	2.02413
5.55102	3.95918	4.36774
5.67347	3.95918	4.18071
5.79592	3.95918	4.36912
5.91837	3.95918	4.60678
6.04082	3.95918	4.90203
6.16327	3.95918	5.26316
6.28571	3.95918	5.69841
6.40816	3.95918	6.216
6.53061	3.95918	6.82416
6.65306	3.95918	7.53113
6.77551	3.95918	6.03228
6.89796	3.95918	6.37224
7.02041	3.95918	6.46324
7.14286	3.95918	6.23539
7.26531	3.95918	5.61892
7.38776	3.95918	4.54417
7.5102	3.95918	2.94159
7.63265	3.95918	0.741784
7.7551	3.95918	2.12449
7.87755	3.95918	1.6721
8	3.95918	1.53319

2	4.12245	1.00359
2.12245	4.12245	1.11198
2.2449	4.12245	0.284021
2.36735	4.12245	0.0784858
2.4898	4.12245	0.150531
2.61224	4.12245	0.394027
2.73469	4.12245	0.642928
2.85714	4.12245	0.888093
2.97959	4.12245	1.12033
3.10204	4.12245	1.33043
3.22449	4.12245	1.50913
3.34694	4.12245	0.409232
3.46939	4.12245	0.350642
3.59184	4.12245	0.286892
3.71429	4.12245	0.217811
3.83673	4.12245	0.143176
3.95918	4.12245	0.0626918
4.08163	4.12245	0.0240124
4.20408	4.12245	0.1174
4.32653	4.12245	0.218036
4.44898	4.12245	0.380849
4.57143	4.12245	0.559231
4.69388	4.12245	0.741542
4.81633	4.12245	0.917829
4.93878	4.12245	1.07801
5.06122	4.12245	1.21189
5.18367	4.12245	1.30914
5.30612	4.12245	1.35931
5.42857	4.12245	1.35186
5.55102	4.12245	1.27613
5.67347	4.12245	0.315504
5.79592	4.12245	0.551764
5.91837	4.12245	0.780605
6.04082	4.12245	0.992491
6.16327	4.12245	1.17784
6.28571	4.12245	1.32705
6.40816	4.12245	1.43048
6.53061	4.12245	1.47852
6.65306	4.12245	1.46154
6.77551	4.12245	0.420005
6.89796	4.12245	0.366386
7.02041	4.12245	0.305558
7.14286	4.12245	0.236735
7.26531	4.12245	0.159049
7.38776	4.12245	0.0715364
7.5102	4.12245	0.0268698
7.63265	4.12245	0.137348
7.7551	4.12245	0.261194
7.87755	4.12245	0.938019
8	4.12245	1.0918

2	4.28571	0.5619
2.12245	4.28571	0.615495
2.2449	4.28571	0.0735346
2.36735	4.28571	0.0890477
2.4898	4.28571	0.267048
2.61224	4.28571	0.4563
2.73469	4.28571	0.652578
2.85714	4.28571	0.851613
2.97959	4.28571	1.0491
3.10204	4.28571	1.24069
3.22449	4.28571	1.42206
3.34694	4.28571	0.0152245
3.46939	4.28571	0.0220346
3.59184	4.28571	0.0654064
3.71429	4.28571	0.119761
3.83673	4.28571	0.19001
3.95918	4.28571	0.281114
4.08163	4.28571	0.398094
4.20408	4.28571	0.546038
4.32653	4.28571	0.730108
4.44898	4.28571	0.21643
4.57143	4.28571	0.362761
4.69388	4.28571	0.508532
4.81633	4.28571	0.644447
4.93878	4.28571	0.76112
5.06122	4.28571	0.84907
5.18367	4.28571	0.898726
5.30612	4.28571	0.900431
5.42857	4.28571	0.844445
5.55102	4.28571	0.72095
5.67347	4.28571	0.510506
5.79592	4.28571	0.70304
5.91837	4.28571	0.898307
6.04082	4.28571	1.09207
6.16327	4.28571	1.28006
6.28571	4.28571	1.45798
6.40816	4.28571	1.62154
6.53061	4.28571	1.76642
6.65306	4.28571	1.88834
6.77551	4.28571	0.0201471
6.89796	4.28571	0.0816512
7.02041	4.28571	0.165797
7.14286	4.28571	0.277385
7.26531	4.28571	0.421277
7.38776	4.28571	0.602405
7.5102	4.28571	0.82578
7.63265	4.28571	1.09649
7.7551	4.28571	1.41973
7.87755	4.28571	0.658313
8	4.28571	0.772738

2	4.44898	0.380576
2.12245	4.44898	0.414007
2.2449	4.44898	0.213792
2.36735	4.44898	0.302694
2.4898	4.44898	0.392216
2.61224	4.44898	0.487359
2.73469	4.44898	0.593087
2.85714	4.44898	0.714337
2.97959	4.44898	0.85602
3.10204	4.44898	1.02303
3.22449	4.44898	1.22026
3.34694	4.44898	0.681318
3.46939	4.44898	0.704948
3.59184	4.44898	0.734867
3.71429	4.44898	0.782863
3.83673	4.44898	0.860745
3.95918	4.44898	0.980356
4.08163	4.44898	1.15358
4.20408	4.44898	1.39233
4.32653	4.44898	1.70858
4.44898	4.44898	0.172007
4.57143	4.44898	0.103153
4.69388	4.44898	0.0398222
4.81633	4.44898	0.0117184
4.93878	4.44898	0.0451428
5.06122	4.44898	0.0540674
5.18367	4.44898	0.0320514
5.30612	4.44898	0.0274006
5.42857	4.44898	0.130836
5.55102	4.44898	0.284851
5.67347	4.44898	0.784954
5.79592	4.44898	0.90484
5.91837	4.44898	1.04614
6.04082	4.44898	1.21425
6.16327	4.44898	1.41451
6.28571	4.44898	1.65227
6.40816	4.44898	1.93288
6.53061	4.44898	2.26166
6.65306	4.44898	2.64398
6.77551	4.44898	0.883021
6.89796	4.44898	0.973978
7.02041	4.44898	1.10791
7.14286	4.44898	1.2951
7.26531	4.44898	1.54586
7.38776	4.44898	1.87054
7.5102	4.44898	2.27957
7.63265	4.44898	2.78338
7.7551	4.44898	3.39251
7.87755	4.44898	0.00322411
8	4.44898	0.0370787

2	4.61224	1.93557
2.12245	4.61224	2.09407
2.2449	4.61224	0.583971
2.36735	4.61224	0.562681
2.4898	4.61224	0.519152
2.61224	4.61224	0.472763
2.73469	4.61224	0.44288
2.85714	4.61224	0.448857
2.97959	4.61224	0.510041
3.10204	4.61224	0.645771
3.22449	4.61224	0.875382
3.34694	4.61224	1.74133
3.46939	4.61224	1.76181
3.59184	4.61224	1.78776
3.71429	4.61224	1.84046
3.83673	4.61224	1.94122
3.95918	4.61224	2.11134
4.08163	4.61224	2.37216
4.20408	4.61224	2.74501
4.32653	4.61224	3.25125
4.44898	4.61224	0.839455
4.57143	4.61224	0.903378
4.69388	4.61224	0.978197
4.81633	4.61224	1.06424
4.93878	4.61224	1.16185
5.06122	4.61224	1.2714
5.18367	4.61224	1.39328
5.30612	4.61224	1.52791
5.42857	4.61224	1.67572
5.55102	4.61224	1.83716
5.67347	4.61224	1.14706
5.79592	4.61224	1.1601
5.91837	4.61224	1.2235
6.04082	4.61224	1.35743
6.16327	4.61224	1.58206
6.28571	4.61224	1.91755
6.40816	4.61224	2.38405
6.53061	4.61224	3.00173
6.65306	4.61224	3.79074
6.77551	4.61224	2.25825
6.89796	4.61224	2.40535
7.02041	4.61224	2.62132
7.14286	4.61224	2.92359
7.26531	4.61224	3.32961
7.38776	4.61224	3.85683
7.5102	4.61224	4.52273
7.63265	4.61224	5.34482
7.7551	4.61224	6.34061
7.87755	4.61224	1.13581
8	4.61224	1.21142

2	4.77551	4.21497
2.12245	4.77551	4.54238
2.2449	4.77551	1.04287
2.36735	4.77551	0.869112
2.4898	4.77551	0.640865
2.61224	4.77551	0.397978
2.73469	4.77551	0.180307
2.85714	4.77551	0.0277135
2.97959	4.77551	0.0199335
3.10204	4.77551	0.0772377
3.22449	4.77551	0.359101
3.34694	4.77551	3.22577
3.46939	4.77551	3.25639
3.59184	4.77551	3.29042
3.71429	4.77551	3.36162
3.83673	4.77551	3.50374
3.95918	4.77551	3.75052
4.08163	4.77551	4.13569
4.20408	4.77551	4.69298
4.32653	4.77551	5.4561
4.44898	4.77551	1.84108
