0.1000000000	0.1805492473	-0.0755547363	-0.0917729098	-0.1097562627	-0.1246997982	
0.2000000000	0.3267896449	-0.1361688306	-0.1650234879	-0.1966731670	-0.2224033380	
0.3000000000	0.4436108390	-0.1834729744	-0.2214700722	-0.2623313535	-0.2941991199	
0.4000000000	0.5352830462	-0.2189591450	-0.2627471630	-0.3083780958	-0.3415302879	
0.5000000000	0.6055306038	-0.2439909062	-0.2904066237	-0.3365106594	-0.3661531191	
0.6000000000	0.6575971750	-0.2598130003	-0.3059189898	-0.3484598779	-0.3700919669	
0.7000000000	0.6943034414	-0.2675602949	-0.3106748705	-0.3459741669	-0.3555916089	
0.8000000000	0.7180982202	-0.2682661061	-0.3059864486	-0.3308039881	-0.3250677920	
0.9000000000	0.7311036496	-0.2628699527	-0.2930890577	-0.3046869720	-0.2810569202	
1.0000000000	0.7351551718	-0.2522247685	-0.2731428431	-0.2693337231	-0.2261657171	
1.1000000000	0.7318368452	-0.2371036187	-0.2472344973	-0.2264144538	-0.1630217334	
1.2000000000	0.7225125445	-0.2182059397	-0.2163790626	-0.1775465009	-0.0942254930	
1.3000000000	0.7083535091	-0.1961633442	-0.1815217943	-0.1242828018	-0.0223050518	
1.4000000000	0.6903626309	-0.1715450145	-0.1435400811	-0.0681014118	0.0503263551	
1.5000000000	0.6693958739	-0.1448627148	-0.1032454202	-0.0103960928	0.1214089338	
1.6000000000	0.6461811341	-0.1165754413	-0.0613854330	0.0475319617	0.1888706941	
1.7000000000	0.6213348556	-0.0870937427	-0.0186459228	0.1044812556	0.2508570977	
1.8000000000	0.5953766396	-0.0567837258	0.0243470340	0.1593559362	0.3057556133	
1.9000000000	0.5687420761	-0.0259707728	0.0670249650	0.2111705485	0.3522149434	
2.0000000000	0.5417940184	0.0050570174	0.1088748555	0.2590536029	0.3891587323	
2.1000000000	0.5148324729	0.0360456362	0.1494369861	0.3022499590	0.4157937138	
2.2000000000	0.4881032710	0.0667722126	0.1883027538	0.3401220535	0.4316123263	
2.3000000000	0.4618056511	0.0970422768	0.2251124829	0.3721499920	0.4363899132	
2.4000000000	0.4360988920	0.1266872340	0.2595532321	0.3979305491	0.4301767466	
2.5000000000	0.4111081080	0.1555620247	0.2913566038	0.4171751168	0.4132851699	
2.6000000000	0.3869293075	0.1835429653	0.3202965560	0.4297066633	0.3862722475	
2.7000000000	0.3636337897	0.2105257533	0.3461872236	0.4354557522	0.3499183794	
2.8000000000	0.3412719766	0.2364236291	0.3688807505	0.4344557029	0.3052023778	
2.9000000000	0.3198767312	0.2611656776	0.3882651427	0.4268369495	0.2532735787	
3.0000000000	0.2994662443	0.2846952667	0.4042621396	0.4128206933	0.1954215926	
3.1000000000	0.2800465242	0.3069686069	0.4168251105	0.3927119133	0.1330442964	
3.2000000000	0.2616135464	0.3279534298	0.4259369787	0.3668918338	0.0676147536	
3.3000000000	0.2441551089	0.3476277701	0.4316081763	0.3358099334	0.0006476522	
3.4000000000	0.2276524159	0.3659788487	0.4338746363	0.2999755750	-0.0663340551	
3.5000000000	0.2120814489	0.3830020483	0.4327958190	0.2599493685	-0.1318317126	
3.6000000000	0.1974141231	0.3986999740	0.4284527819	0.2163343262	-0.1944021469	
3.7000000000	0.1836192804	0.4130815933	0.4209462889	0.1697669327	-0.2526868803	
3.8000000000	0.1706635247	0.4261614493	0.4103949687	0.1209081914	-0.3054389404	
3.9000000000	0.1585119260	0.4379589435	0.3969335194	0.0704347475	-0.3515467450	
4.0000000000	0.1471286198	0.4484976797	0.3807109644	0.0190301699	-0.3900547477	
4.1000000000	0.1364772935	0.4578048677	0.3618889588	-0.0326235436	-0.4201804829	
4.2000000000	0.1265216007	0.4659107802	0.3406401495	-0.0838541397	-0.4413277903	
4.3000000000	0.1172254910	0.4728482605	0.3171465923	-0.1340069149	-0.4530960529	
4.4000000000	0.1085534821	0.4786522741	0.2915982269	-0.1824520711	-0.4552853486	
4.5000000000	0.1004708825	0.4833595062	0.2641914069	-0.2285915668	-0.4478975209	
4.6000000000	0.0929439529	0.4870079943	0.2351274916	-0.2718654257	-0.4311332165	
4.7000000000	0.0859400473	0.4896368016	0.2046114961	-0.3117574289	-0.4053850442	
4.8000000000	0.0794276998	0.4912857177	0.1728508067	-0.3478001844	-0.3712270387	
4.9000000000	0.0733767030	0.4919949971	0.1400539545	-0.3795795078	-0.3294007305	
5.0000000000	0.0677581506	0.4918051193	0.1064294510	-0.4067381150	-0.2807981183	
5.1000000000	0.0625444589	0.4907565790	0.0721846891	-0.4289786025	-0.2264419584	
5.2000000000	0.0577093842	0.4888896972	0.0375249037	-0.4460656889	-0.1674637688	
5.3000000000	0.0532280057	0.4862444568	0.0026522008	-0.4578277478	-0.1050800135	
5.4000000000	0.0490767240	0.4828603554	-0.0322353583	-0.4641575875	-0.0405669647	
5.5000000000	0.0452332216	0.4787762781	-0.0669446043	-0.4650125415	0.0247652811	
5.6000000000	0.0416764417	0.4740303856	-0.1012880488	-0.4604138379	0.0895990937	
5.7000000000	0.0383865451	0.4686600199	-0.1350846075	-0.4504453070	0.1526354221	
5.8000000000	0.0353448676	0.4627016203	-0.1681602657	-0.4352514367	0.2126192344	
5.9000000000	0.0325338813	0.4561906546	-0.2003486827	-0.4150348107	0.2683637887	
6.0000000000	0.0299371374	0.4491615604	-0.2314917370	-0.3900529868	0.3187733228	
6.1000000000	0.0275392304	0.4416476979	-0.2614400121	-0.3606148264	0.3628637149	
6.2000000000	0.0253257369	0.4336813104	-0.2900532242	-0.3270763670	0.3997807753	
