1000	0.795	0.0127726
1100	0.791818	0.0122472
1210	0.787603	0.0117629
1331	0.779113	0.0113752
1464	0.804645	0.0103656
1610	0.798137	0.0100067
1771	0.790514	0.00967266
1948	0.771561	0.00951453
2142	0.791317	0.00878235
2356	0.798387	0.00826743
2591	0.785025	0.00807209
2850	0.778246	0.00778302
3135	0.78437	0.00734625
3448	0.789153	0.00694774
3792	0.77558	0.0067759
4171	0.778231	0.00643335
4588	0.783784	0.00607824
5046	0.778637	0.00584507
5550	0.784865	0.00551627
6105	0.786732	0.00524287
6715	0.791065	0.00496159
7386	0.78378	0.00479038
8124	0.792959	0.00449568
8936	0.783124	0.00435987
9829	0.779835	0.00417968
10811	0.782721	0.00396643
11892	0.782375	0.00378402
13081	0.787096	0.00357933
14389	0.788866	0.00340236
15827	0.788273	0.00324744
17409	0.784652	0.00311555
19149	0.787978	0.00295383
21063	0.782937	0.00284058
23169	0.786827	0.00269068
25485	0.783559	0.00257972
28033	0.788749	0.00243805
30836	0.783208	0.0023466
33919	0.782128	0.00224143
37310	0.787108	0.00211929
41041	0.78519	0.00202727
45145	0.786554	0.00192845
49659	0.782215	0.00185218
54624	0.781946	0.00176678
60086	0.783177	0.00168112
66094	0.783188	0.00160287
72703	0.783792	0.00152673
79973	0.785303	0.00145199
87970	0.78396	0.00138755
96767	0.786983	0.00131622
106443	0.785575	0.00125798
117087	0.784237	0.00120215
128795	0.787212	0.00114044
141674	0.787138	0.0010875
155841	0.785705	0.00103943
171425	0.784471	0.000993128
188567	0.785228	0.000945704
207423	0.784518	0.000902776
228165	0.785519	0.000859308
250981	0.784207	0.000821135
276079	0.785156	0.000781671
303686	0.78618	0.000744
334054	0.784927	0.000710886
367459	0.784629	0.000678144
404204	0.785982	0.000645107
444624	0.785461	0.000615629
489086	0.78578	0.000586662
537994	0.785594	0.000559537
591793	0.785229	0.000533828
650972	0.786316	0.000508046
716069	0.784892	0.000485575
787675	0.784801	0.000463049
866442	0.786002	0.000440603
953086	0.785621	0.00042037
