x	 y 	 value
12.223	1.16484	-0.472231
12.2883	1.13363	-0.481995
12.3532	1.10207	-0.489653
12.4177	1.0703	-0.495213
12.4816	1.03849	-0.498697
12.5451	1.00677	-0.500135
12.608	0.975279	-0.49957
12.6704	0.944152	-0.497055
12.7323	0.91351	-0.492649
12.7936	0.883471	-0.486421
12.8543	0.85414	-0.478446
12.9145	0.825618	-0.468804
12.9741	0.797993	-0.457581
13.0331	0.771347	-0.444866
13.0915	0.745753	-0.430751
13.1493	0.721272	-0.415331
13.2065	0.697959	-0.398699
13.2632	0.675861	-0.380952
13.3192	0.655016	-0.362183
13.3747	0.635453	-0.342487
13.4296	0.617197	-0.321954
13.484	0.600264	-0.300672
13.5378	0.584664	-0.278728
13.5911	0.570403	-0.256203
13.6438	0.557481	-0.233176
13.6961	0.545894	-0.209719
13.748	0.535635	-0.185903
13.7993	0.526693	-0.161791
13.8503	0.519058	-0.137443
13.901	0.512715	-0.112914
13.9513	0.507651	-0.0882552
14.0013	0.503851	-0.0635125
14.0511	0.501304	-0.0387286
14.1007	0.499996	-0.0139431
14.1502	0.499918	0.0108072
14.1996	0.501062	0.0354871
14.2489	0.50342	0.0600625
14.2983	0.506989	0.0844994
14.3477	0.511768	0.108763
14.3972	0.517755	0.132817
14.4469	0.524953	0.156624
14.4969	0.533363	0.180142
14.547	0.542989	0.203328
14.5975	0.553832	0.226133
14.6483	0.565895	0.248506
14.6995	0.579178	0.270392
14.751	0.59368	0.291731
14.803	0.609395	0.31246
14.8554	0.626317	0.332513
14.9084	0.644433	0.351819
14.9618	0.663727	0.370305
15.0157	0.684179	0.387895
15.0701	0.705761	0.404511
15.1251	0.72844	0.420074
15.1806	0.752177	0.434501
15.2366	0.776927	0.447712
15.2933	0.802635	0.459626
15.3505	0.829242	0.470161
15.4082	0.856679	0.479238
15.4665	0.884871	0.486781
15.5254	0.913733	0.492716
15.5848	0.943174	0.496974
15.6448	0.973096	0.499489
15.7054	1.00339	0.500202
15.7665	1.03395	0.499061
15.8281	1.06465	0.496021
15.8903	1.09536	0.491043
15.953	1.12595	0.484101
16.0162	1.15629	0.475175
16.0799	1.18624	0.464258
16.144	1.21564	0.451354
16.2087	1.24436	0.436476
16.2737	1.27224	0.419653
16.3392	1.29914	0.400923
16.4051	1.32491	0.380338
16.4714	1.34941	0.357965
16.5381	1.37249	0.333879
16.6051	1.39403	0.308172
16.6724	1.41388	0.280947
16.74	1.43193	0.252318
16.8079	1.44807	0.222412
16.876	1.46218	0.191363
16.9444	1.47419	0.15932
17.013	1.48399	0.126437
17.0817	1.49154	0.0928759
17.1505	1.49677	0.0588058
17.2195	1.49965	0.0244003
17.2886	1.50014	-0.0101633
17.3577	1.49824	-0.0447056
17.4268	1.49396	-0.0790467
17.496	1.48732	-0.113008
17.5651	1.47834	-0.146412
17.6341	1.46709	-0.179087
17.7031	1.45364	-0.210866
17.7719	1.43805	-0.241589
17.8406	1.42043	-0.271102
17.9091	1.40087	-0.299264
17.9773	1.3795	-0.325942
18.0454	1.35644	-0.351015
18.1132	1.33182	-0.374373
18.1807	1.30579	-0.395921
18.2479	1.2785	-0.415574
18.3148	1.25009	-0.433265
18.3813	1.22073	-0.448936
18.4474	1.19057	-0.462547
18.5131	1.15977	-0.474069
18.5783	1.12848	-0.483487
18.6432	1.09687	-0.4908
18.7075	1.06509	-0.496018
18.7714	1.03328	-0.499163
18.8347	1.00158	-0.500269
18.8976	0.970142	-0.499381
18.9599	0.939084	-0.496551
19.0216	0.908531	-0.491842
19.0829	0.878598	-0.485322
19.1435	0.849391	-0.477068
19.2036	0.821008	-0.467161
19.263	0.793536	-0.455687
19.3219	0.767056	-0.442737
19.3802	0.741637	-0.428402
19.438	0.717341	-0.412776
19.4951	0.694222	-0.395956
19.5516	0.672324	-0.378035
19.6076	0.651685	-0.359108
19.663	0.632332	-0.339268
19.7178	0.614289	-0.318607
19.772	0.59757	-0.297211
19.8257	0.582187	-0.275166
19.8789	0.568142	-0.252554
19.9316	0.555436	-0.229451
19.9838	0.544063	-0.205931
20	0.54079	-0.198525
